epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0199,1.48951,2.51738,1.48694,0.67387,0.55838,0.59486,0.34406,1.45192,2.01919,1.41291,0.00331034,0.00331034,0.00331034
2,40.547,1.47577,1.87696,1.46505,0.65659,0.56587,0.62067,0.34838,1.48193,1.89006,1.50441,0.00663052,0.00663052,0.00663052
3,63.9048,1.52809,1.75057,1.47778,0.63709,0.48093,0.53724,0.26918,1.6709,2.32355,1.6585,0.0099375,0.0099375,0.0099375
4,87.1168,1.6126,1.7566,1.54111,0.58021,0.4506,0.4571,0.23694,1.73414,2.18968,1.81499,0.0099406,0.0099406,0.0099406
5,100.59,1.59669,1.69048,1.55444,0.54295,0.4985,0.47515,0.22962,1.73776,2.252,1.77021,0.0099208,0.0099208,0.0099208
6,123.394,1.56886,1.59153,1.53689,0.5962,0.38174,0.42163,0.20589,1.86545,2.06116,1.83112,0.009901,0.009901,0.009901
7,138.416,1.55339,1.56387,1.53975,0.60412,0.49551,0.54916,0.30231,1.64606,1.61043,1.59902,0.0098812,0.0098812,0.0098812
8,150.282,1.50782,1.48203,1.49826,0.60113,0.46856,0.51179,0.26168,1.78988,1.82419,1.69567,0.0098614,0.0098614,0.0098614
9,171.018,1.48291,1.44926,1.48589,0.72323,0.62199,0.68348,0.39292,1.48025,1.70292,1.49687,0.0098416,0.0098416,0.0098416
10,193.786,1.45541,1.39704,1.46105,0.7493,0.57635,0.6524,0.35828,1.62384,1.46013,1.5695,0.0098218,0.0098218,0.0098218
11,216.38,1.44712,1.34983,1.45182,0.68439,0.62327,0.67769,0.39608,1.48565,1.35103,1.50398,0.009802,0.009802,0.009802
12,238.643,1.44608,1.34508,1.45846,0.69616,0.64671,0.67994,0.40034,1.4533,1.38098,1.44791,0.0097822,0.0097822,0.0097822
13,261.393,1.43012,1.35492,1.46738,0.81635,0.64222,0.75895,0.44788,1.47172,1.25946,1.46436,0.0097624,0.0097624,0.0097624
14,283.796,1.41309,1.27566,1.43681,0.76839,0.66617,0.7394,0.44047,1.40118,1.17706,1.44971,0.0097426,0.0097426,0.0097426
15,303.978,1.39979,1.27305,1.42826,0.75621,0.67665,0.75149,0.44058,1.44374,1.20357,1.43085,0.0097228,0.0097228,0.0097228
16,315.724,1.39543,1.2578,1.42755,0.77031,0.66916,0.77411,0.46871,1.39124,1.12321,1.39339,0.009703,0.009703,0.009703
17,327.424,1.38634,1.22719,1.40703,0.76914,0.6018,0.71195,0.42386,1.45087,1.27405,1.44776,0.0096832,0.0096832,0.0096832
18,339.143,1.36592,1.21189,1.39947,0.80889,0.70359,0.78954,0.49922,1.30834,1.04485,1.36876,0.0096634,0.0096634,0.0096634
19,350.904,1.36109,1.20248,1.40522,0.78708,0.68862,0.78576,0.4952,1.3297,1.07841,1.37522,0.0096436,0.0096436,0.0096436
20,362.575,1.35708,1.18394,1.39655,0.77596,0.70515,0.77518,0.48587,1.34205,1.05733,1.34913,0.0096238,0.0096238,0.0096238
21,374.283,1.3339,1.15152,1.38819,0.78455,0.69778,0.79089,0.49888,1.39452,1.05887,1.37884,0.009604,0.009604,0.009604
22,385.978,1.32823,1.15214,1.38557,0.8,0.68863,0.77317,0.49339,1.3275,1.06215,1.3783,0.0095842,0.0095842,0.0095842
23,397.678,1.31727,1.14043,1.3763,0.78425,0.64222,0.75268,0.48621,1.34734,1.09415,1.37371,0.0095644,0.0095644,0.0095644
24,409.302,1.32371,1.13369,1.37452,0.82217,0.70597,0.79667,0.5136,1.35288,1.00011,1.39384,0.0095446,0.0095446,0.0095446
25,420.931,1.31035,1.10599,1.36118,0.77526,0.73204,0.80053,0.49885,1.31937,1.02707,1.33427,0.0095248,0.0095248,0.0095248
26,432.581,1.30264,1.09777,1.36435,0.7777,0.71227,0.78623,0.49984,1.2919,1.00876,1.35024,0.009505,0.009505,0.009505
27,444.058,1.29679,1.09875,1.3631,0.8043,0.72006,0.79631,0.51011,1.2523,1.03313,1.32627,0.0094852,0.0094852,0.0094852
28,455.403,1.28626,1.07032,1.36494,0.81784,0.70571,0.80318,0.51441,1.2721,0.99273,1.35665,0.0094654,0.0094654,0.0094654
29,466.729,1.2887,1.07056,1.36447,0.82535,0.7216,0.80308,0.5234,1.27901,0.98758,1.33966,0.0094456,0.0094456,0.0094456
30,478.169,1.27674,1.07646,1.34807,0.84012,0.73054,0.82691,0.5519,1.22023,0.90904,1.285,0.0094258,0.0094258,0.0094258
31,489.664,1.26876,1.0207,1.33841,0.83642,0.71557,0.82557,0.53263,1.27217,0.96538,1.31468,0.009406,0.009406,0.009406
32,501.289,1.26523,1.03019,1.3344,0.82122,0.72455,0.81915,0.53395,1.26587,0.93286,1.30271,0.0093862,0.0093862,0.0093862
33,512.886,1.2596,1.03336,1.33259,0.85347,0.7237,0.83286,0.55041,1.22404,0.90731,1.2769,0.0093664,0.0093664,0.0093664
34,524.558,1.23838,0.99973,1.32232,0.82592,0.73802,0.83676,0.55349,1.19733,0.9285,1.2778,0.0093466,0.0093466,0.0093466
35,536.702,1.25277,1.01052,1.32513,0.79345,0.7515,0.82689,0.54971,1.22404,0.9114,1.27681,0.0093268,0.0093268,0.0093268
36,548.654,1.23338,0.98984,1.32198,0.82003,0.77078,0.84161,0.56897,1.2033,0.87375,1.26824,0.009307,0.009307,0.009307
37,560.729,1.22223,0.96659,1.30123,0.79523,0.75749,0.82341,0.53929,1.22344,0.90906,1.31019,0.0092872,0.0092872,0.0092872
38,572.43,1.21639,0.97782,1.3083,0.81877,0.75074,0.83366,0.54735,1.264,0.88844,1.29689,0.0092674,0.0092674,0.0092674
39,583.9,1.22321,0.99144,1.31406,0.83496,0.73353,0.83292,0.55982,1.22636,0.90221,1.28364,0.0092476,0.0092476,0.0092476
40,595.513,1.22383,0.98138,1.31771,0.81816,0.75449,0.83921,0.56009,1.22403,0.86299,1.28616,0.0092278,0.0092278,0.0092278
