epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3443,1.48951,2.51738,1.48694,0.67387,0.55838,0.59486,0.34406,1.45192,2.01919,1.41291,0.00331034,0.00331034,0.00331034
2,40.9069,1.47013,1.87305,1.45113,0.67925,0.59282,0.63814,0.34503,1.53267,1.72939,1.49574,0.0066371,0.0066371,0.0066371
3,63.8278,1.55169,1.78192,1.48564,0.491,0.32635,0.33555,0.17047,1.75437,2.35862,1.71521,0.00995726,0.00995726,0.00995726
4,86.6624,1.62457,1.76515,1.55475,0.44643,0.27545,0.25795,0.12379,2.05338,2.56479,2.02725,0.0099703,0.0099703,0.0099703
5,109.337,1.60494,1.69148,1.56194,0.61507,0.39072,0.42127,0.20162,1.85776,2.03879,1.85028,0.0099604,0.0099604,0.0099604
6,131.314,1.57814,1.59196,1.55391,0.65274,0.49401,0.56128,0.29469,1.69,1.63274,1.66021,0.0099505,0.0099505,0.0099505
7,153.988,1.55715,1.56854,1.53499,0.69706,0.52395,0.59427,0.33181,1.6032,1.58979,1.59161,0.0099406,0.0099406,0.0099406
8,175.995,1.521,1.47414,1.50033,0.70653,0.58383,0.64699,0.36391,1.54651,1.47926,1.56112,0.0099307,0.0099307,0.0099307
9,198.276,1.48013,1.4537,1.48768,0.66081,0.49872,0.53029,0.28562,1.6886,1.63708,1.6662,0.0099208,0.0099208,0.0099208
10,220.633,1.46557,1.40022,1.46378,0.76653,0.57934,0.68093,0.37237,1.56651,1.40765,1.52163,0.0099109,0.0099109,0.0099109
11,242.917,1.45391,1.36958,1.45834,0.61844,0.5479,0.59217,0.3249,1.61249,1.54109,1.60327,0.009901,0.009901,0.009901
12,265.065,1.43805,1.34596,1.45173,0.76541,0.65569,0.73529,0.43777,1.41724,1.24683,1.43373,0.0098911,0.0098911,0.0098911
13,287.225,1.43463,1.33701,1.47088,0.75833,0.69051,0.76986,0.46894,1.42186,1.13023,1.44749,0.0098812,0.0098812,0.0098812
14,309.219,1.41335,1.26452,1.44226,0.78547,0.68263,0.76341,0.45448,1.37825,1.24183,1.41886,0.0098713,0.0098713,0.0098713
15,331.176,1.39288,1.26917,1.43631,0.77094,0.65419,0.74093,0.45438,1.39669,1.26736,1.44184,0.0098614,0.0098614,0.0098614
16,353.298,1.39452,1.25545,1.42855,0.79386,0.63994,0.75868,0.46932,1.39356,1.13903,1.39432,0.0098515,0.0098515,0.0098515
17,376.347,1.38077,1.23082,1.41259,0.8062,0.65388,0.76423,0.47315,1.36469,1.13997,1.38719,0.0098416,0.0098416,0.0098416
18,399.766,1.36546,1.20568,1.39736,0.78986,0.68713,0.77983,0.49279,1.30363,1.05171,1.35541,0.0098317,0.0098317,0.0098317
19,422.273,1.35799,1.21133,1.40609,0.77164,0.68713,0.76126,0.4741,1.34286,1.13899,1.38813,0.0098218,0.0098218,0.0098218
20,443.469,1.35727,1.18824,1.4012,0.71273,0.59281,0.67496,0.42961,1.3753,1.27584,1.40015,0.0098119,0.0098119,0.0098119
21,464.594,1.34317,1.16756,1.40569,0.76475,0.70509,0.77053,0.49552,1.2961,1.03159,1.32741,0.009802,0.009802,0.009802
22,485.891,1.32229,1.15774,1.3946,0.80135,0.70359,0.79177,0.50232,1.33137,1.01281,1.3665,0.0097921,0.0097921,0.0097921
23,507.067,1.32059,1.13924,1.38783,0.79755,0.67229,0.78039,0.49696,1.34678,1.05498,1.36234,0.0097822,0.0097822,0.0097822
24,529.777,1.3195,1.12137,1.38608,0.79935,0.66796,0.78618,0.48444,1.35401,1.04061,1.39231,0.0097723,0.0097723,0.0097723
25,551.172,1.30883,1.10237,1.36749,0.79724,0.70958,0.79085,0.49489,1.3613,1.06181,1.36965,0.0097624,0.0097624,0.0097624
26,572.659,1.31203,1.0978,1.38221,0.79637,0.72455,0.82066,0.53169,1.24924,0.97677,1.32025,0.0097525,0.0097525,0.0097525
27,593.969,1.30016,1.10629,1.36756,0.82034,0.67964,0.77817,0.49159,1.29392,1.05269,1.35901,0.0097426,0.0097426,0.0097426
28,616.516,1.29464,1.08105,1.36525,0.81393,0.75449,0.82559,0.54464,1.25685,0.94904,1.32382,0.0097327,0.0097327,0.0097327
29,638.037,1.29483,1.08507,1.36419,0.84049,0.70808,0.79434,0.51459,1.29792,0.98508,1.32103,0.0097228,0.0097228,0.0097228
30,659.502,1.28658,1.07636,1.35938,0.80388,0.73631,0.81785,0.54145,1.28931,0.95035,1.3343,0.0097129,0.0097129,0.0097129
